trial_id,arm_mode,joint_left_shoulder_pitch_target,joint_left_shoulder_roll_target,joint_left_shoulder_yaw_target,joint_left_elbow_target,joint_left_wrist_roll_target,joint_left_wrist_pitch_target,joint_left_wrist_yaw_target,joint_right_shoulder_pitch_target,joint_right_shoulder_roll_target,joint_right_shoulder_yaw_target,joint_right_elbow_target,joint_right_wrist_roll_target,joint_right_wrist_pitch_target,joint_right_wrist_yaw_target,joint_left_shoulder_pitch_kp,joint_left_shoulder_roll_kp,joint_left_shoulder_yaw_kp,joint_left_elbow_kp,joint_left_wrist_roll_kp,joint_left_wrist_pitch_kp,joint_left_wrist_yaw_kp,joint_right_shoulder_pitch_kp,joint_right_shoulder_roll_kp,joint_right_shoulder_yaw_kp,joint_right_elbow_kp,joint_right_wrist_roll_kp,joint_right_wrist_pitch_kp,joint_right_wrist_yaw_kp,joint_left_shoulder_pitch_kd,joint_left_shoulder_roll_kd,joint_left_shoulder_yaw_kd,joint_left_elbow_kd,joint_left_wrist_roll_kd,joint_left_wrist_pitch_kd,joint_left_wrist_yaw_kd,joint_right_shoulder_pitch_kd,joint_right_shoulder_roll_kd,joint_right_shoulder_yaw_kd,joint_right_elbow_kd,joint_right_wrist_roll_kd,joint_right_wrist_pitch_kd,joint_right_wrist_yaw_kd,joint_left_shoulder_pitch_kp_multiplier,joint_left_shoulder_roll_kp_multiplier,joint_left_shoulder_yaw_kp_multiplier,joint_left_elbow_kp_multiplier,joint_left_wrist_roll_kp_multiplier,joint_left_wrist_pitch_kp_multiplier,joint_left_wrist_yaw_kp_multiplier,joint_right_shoulder_pitch_kp_multiplier,joint_right_shoulder_roll_kp_multiplier,joint_right_shoulder_yaw_kp_multiplier,joint_right_elbow_kp_multiplier,joint_right_wrist_roll_kp_multiplier,joint_right_wrist_pitch_kp_multiplier,joint_right_wrist_yaw_kp_multiplier,joint_left_shoulder_pitch_kd_multiplier,joint_left_shoulder_roll_kd_multiplier,joint_left_shoulder_yaw_kd_multiplier,joint_left_elbow_kd_multiplier,joint_left_wrist_roll_kd_multiplier,joint_left_wrist_pitch_kd_multiplier,joint_left_wrist_yaw_kd_multiplier,joint_right_shoulder_pitch_kd_multiplier,joint_right_shoulder_roll_kd_multiplier,joint_right_shoulder_yaw_kd_multiplier,joint_right_elbow_kd_multiplier,joint_right_wrist_roll_kd_multiplier,joint_right_wrist_pitch_kd_multiplier,joint_right_wrist_yaw_kd_multiplier,fell,time_to_fall,max_com_deviation_xy,final_base_height,max_roll_deg,max_pitch_deg
457,left_only,0.875837,2.323205,-2.532646,-0.667601,1.563538,-0.114289,0.427817,0.000000,-0.200000,0.000000,0.400000,0.000000,0.000000,0.000000,37.1754,27.6655,9.6507,13.3004,13.7105,8.3109,5.6265,30.0000,30.0000,15.0000,15.0000,10.0000,10.0000,10.0000,11.6731,9.4454,4.1634,5.3164,2.7335,4.4553,4.0727,8.0000,8.0000,4.0000,4.0000,3.0000,3.0000,3.0000,1.2392,0.9222,0.6434,0.8867,1.3710,0.8311,0.5626,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.4591,1.1807,1.0409,1.3291,0.9112,1.4851,1.3576,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,True,1.3700,0.854843,0.084067,179.8805,88.2717
458,right_only,0.000000,0.200000,0.000000,0.400000,0.000000,0.000000,0.000000,-1.818634,-1.997439,-1.446537,1.773078,0.932552,0.020818,1.183235,30.0000,30.0000,15.0000,15.0000,10.0000,10.0000,10.0000,29.1683,38.5117,17.3714,15.2728,5.4210,11.5750,11.4260,8.0000,8.0000,4.0000,4.0000,3.0000,3.0000,3.0000,4.9990,10.3673,3.8680,3.2966,3.9719,2.5301,3.3656,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.9723,1.2837,1.1581,1.0182,0.5421,1.1575,1.1426,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.6249,1.2959,0.9670,0.8241,1.3240,0.8434,1.1219,False,,0.085052,1.001592,9.3142,17.4419
459,left_only,-0.229621,-0.180393,-0.262533,-0.029924,-1.860473,0.143340,-1.241019,0.000000,-0.200000,0.000000,0.400000,0.000000,0.000000,0.000000,44.0724,26.8617,11.9821,21.2996,9.8667,11.1433,11.9585,30.0000,30.0000,15.0000,15.0000,10.0000,10.0000,10.0000,10.9713,5.0379,2.3266,5.9748,1.5267,3.6246,3.3332,8.0000,8.0000,4.0000,4.0000,3.0000,3.0000,3.0000,1.4691,0.8954,0.7988,1.4200,0.9867,1.1143,1.1959,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.3714,0.6297,0.5817,1.4937,0.5089,1.2082,1.1111,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,False,,0.070286,1.000451,8.9383,13.5545
460,both,-0.537485,2.590430,2.967322,-0.756362,0.529696,0.200519,-0.492914,1.065377,-1.672567,-2.077407,2.578704,2.681252,-0.370449,0.639269,21.4504,15.2017,11.4092,20.3236,6.4118,6.3067,12.3905,28.7431,38.9132,11.4869,10.0378,8.8178,8.3338,6.8547,7.2509,5.1879,2.9200,5.1784,3.3698,3.7828,1.7933,11.6316,7.8648,4.4323,2.4844,3.3301,3.1660,4.2958,0.7150,0.5067,0.7606,1.3549,0.6412,0.6307,1.2390,0.9581,1.2971,0.7658,0.6692,0.8818,0.8334,0.6855,0.9064,0.6485,0.7300,1.2946,1.1233,1.2609,0.5978,1.4539,0.9831,1.1081,0.6211,1.1100,1.0553,1.4319,True,1.7340,1.041036,0.073408,179.9604,89.1184
461,left_only,-1.197988,2.576195,-0.935294,1.441024,2.329350,0.115691,0.536343,0.000000,-0.200000,0.000000,0.400000,0.000000,0.000000,0.000000,41.2795,42.7627,10.6241,10.4376,10.5048,14.9552,9.9015,30.0000,30.0000,15.0000,15.0000,10.0000,10.0000,10.0000,6.6472,8.2981,2.2576,2.7088,1.9468,1.5837,3.6666,8.0000,8.0000,4.0000,4.0000,3.0000,3.0000,3.0000,1.3760,1.4254,0.7083,0.6958,1.0505,1.4955,0.9902,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.8309,1.0373,0.5644,0.6772,0.6489,0.5279,1.2222,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,True,1.4200,0.914297,0.097312,179.9801,85.9745
462,both,-1.607015,0.257067,0.244422,0.385825,-0.746218,-0.170633,-1.259882,0.102029,-2.981590,-1.767463,-0.163991,-0.841324,-0.314317,-0.388742,22.2979,16.8365,20.5584,12.0837,5.9528,10.2153,6.2328,44.3956,26.5751,17.2297,9.7848,11.4140,7.5266,11.1329,10.1847,4.4926,3.8585,5.7753,1.9769,2.1041,3.3014,4.7093,8.1998,2.9496,4.7268,3.7430,4.0444,4.4772,0.7433,0.5612,1.3706,0.8056,0.5953,1.0215,0.6233,1.4799,0.8858,1.1486,0.6523,1.1414,0.7527,1.1133,1.2731,0.5616,0.9646,1.4438,0.6590,0.7014,1.1005,0.5887,1.0250,0.7374,1.1817,1.2477,1.3481,1.4924,True,1.5980,0.871554,0.127879,179.8115,83.5774
463,both,-0.976439,2.154847,-2.555538,2.788009,0.536681,-0.072756,-0.166846,0.430160,-0.249483,1.570814,1.158715,-0.612195,0.412124,0.340867,31.3096,32.9496,16.9480,18.1961,10.5318,13.7536,13.5971,23.6226,40.9737,21.5912,13.8889,6.9264,9.2033,9.5617,7.5381,5.3483,4.3066,4.4830,3.0701,4.1717,1.7791,8.1566,6.1948,3.2505,4.6224,3.3654,3.4863,2.6319,1.0437,1.0983,1.1299,1.2131,1.0532,1.3754,1.3597,0.7874,1.3658,1.4394,0.9259,0.6926,0.9203,0.9562,0.9423,0.6685,1.0767,1.1207,1.0234,1.3906,0.5930,1.0196,0.7744,0.8126,1.1556,1.1218,1.1621,0.8773,True,1.3460,0.860350,0.114449,179.9925,84.8798
464,right_only,0.000000,0.200000,0.000000,0.400000,0.000000,0.000000,0.000000,-1.555288,-2.071184,2.383171,0.682362,0.741323,0.021130,0.955603,30.0000,30.0000,15.0000,15.0000,10.0000,10.0000,10.0000,26.0735,28.0243,20.1419,9.9144,10.9429,8.9991,14.8579,8.0000,8.0000,4.0000,4.0000,3.0000,3.0000,3.0000,9.7711,4.0845,5.3579,4.8127,3.1829,2.2084,1.9480,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.8691,0.9341,1.3428,0.6610,1.0943,0.8999,1.4858,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.2214,0.5106,1.3395,1.2032,1.0610,0.7361,0.6493,False,,0.081061,0.999031,10.2355,18.0074
465,both,-0.180238,1.282974,2.225387,0.133603,0.662115,-0.232320,0.346245,-2.912297,-1.919346,-2.030873,1.552507,-0.925646,0.251168,-0.978930,31.6864,32.8103,7.8316,8.0398,8.0824,11.0908,14.6263,40.1489,22.8756,19.5946,22.4482,14.1009,8.0407,13.4616,4.7263,9.6253,4.7709,4.6779,3.0484,4.4005,3.0053,4.7621,9.4217,3.3686,4.6347,2.7367,1.5271,2.1938,1.0562,1.0937,0.5221,0.5360,0.8082,1.1091,1.4626,1.3383,0.7625,1.3063,1.4965,1.4101,0.8041,1.3462,0.5908,1.2032,1.1927,1.1695,1.0161,1.4668,1.0018,0.5953,1.1777,0.8421,1.1587,0.9122,0.5090,0.7313,False,,0.073522,0.995041,11.4456,15.6198
466,both,-2.940361,1.235080,2.103204,2.097927,1.534134,0.284160,-0.325273,-0.756619,-1.478055,-2.368108,1.520327,1.398236,0.102645,0.624753,18.5667,37.8423,10.6221,20.6524,7.4493,9.9199,9.8727,40.8564,28.5750,19.9689,14.1959,9.4024,6.5724,6.2498,6.1508,6.8937,2.7424,4.2804,4.2391,2.4498,3.0242,8.8920,10.6187,2.5416,5.6404,2.5766,2.7758,4.1834,0.6189,1.2614,0.7081,1.3768,0.7449,0.9920,0.9873,1.3619,0.9525,1.3313,0.9464,0.9402,0.6572,0.6250,0.7689,0.8617,0.6856,1.0701,1.4130,0.8166,1.0081,1.1115,1.3273,0.6354,1.4101,0.8589,0.9253,1.3945,True,2.3620,0.873128,0.096170,179.8309,88.5257
